team1,score,team2
Liverpool,2 - 0,Atletico Madrid
Liverpool,2 - 0,FC Porto
AC Milan,1 - 2,Liverpool
Inter Milan,0 - 2,Liverpool
Liverpool,0 - 1,Inter Milan
Benfica,1 - 3,Liverpool
Liverpool,3 - 3,Benfica
Liverpool,2 - 0,Villarreal
Villarreal,2 - 3,Liverpool
Liverpool,0 - 1,Real Madrid
Inter Milan,0 - 1,Real Madrid
Real Madrid,1 - 2,S. Tiraspol
Shakhtar,0 - 5,Real Madrid
Real Madrid,2 - 1,Shakhtar
S. Tiraspol,0 - 3,Real Madrid
Real Madrid,2 - 0,Inter Milan
Paris SG,1 - 0,Real Madrid
Real Madrid,3 - 1,Paris SG
Chelsea,1 - 3,Real Madrid
Real Madrid,2 - 3,Chelsea  AET
Manchester City,4 - 3,Real Madrid
Real Madrid,3 - 1,Manchester City  AET
Liverpool,0 - 1,Real Madrid
FC Barcelona,0 - 3,Bayern Munich
Bayern Munich,5 - 0,Dynamo Kiev
Benfica,0 - 4,Bayern Munich
Bayern Munich,5 - 2,Benfica
Dynamo Kiev,1 - 2,Bayern Munich
Bayern Munich,3 - 0,FC Barcelona
Salzburg,1 - 1,Bayern Munich
Bayern Munich,7 - 1,Salzburg
Villarreal,1 - 0,Bayern Munich
Bayern Munich,1 - 1,Villarreal
Manchester City,6 - 3,RB Leipzig
Paris SG,2 - 0,Manchester City
Club Brugge,1 - 5,Manchester City
Manchester City,4 - 1,Club Brugge
Manchester City,2 - 1,Paris SG
RB Leipzig,2 - 1,Manchester City
Sporting CP,0 - 5,Manchester City
Manchester City,0 - 0,Sporting CP
Manchester City,1 - 0,Atletico Madrid
Atletico Madrid,0 - 0,Manchester City
Manchester City,4 - 3,Real Madrid
Real Madrid,3 - 1,Manchester City  AET
Chelsea,1 - 0,Zenit
Juventus,1 - 0,Chelsea
Chelsea,4 - 0,Malmo FF
Malmo FF,0 - 1,Chelsea
Chelsea,4 - 0,Juventus
Zenit,3 - 3,Chelsea
Chelsea,2 - 0,Lille
Lille,1 - 2,Chelsea
Chelsea,1 - 3,Real Madrid
Real Madrid,2 - 3,Chelsea  AET
Sporting CP,1 - 5,Ajax Amsterdam
Ajax Amsterdam,2 - 0,Besiktas
Ajax Amsterdam,4 - 0,Dortmund
Dortmund,1 - 3,Ajax Amsterdam
Besiktas,1 - 2,Ajax Amsterdam
Ajax Amsterdam,4 - 2,Sporting CP
Benfica,2 - 2,Ajax Amsterdam
Ajax Amsterdam,0 - 1,Benfica
Villarreal,2 - 2,Atalanta
Manchester Utd,2 - 1,Villarreal
BSC Young Boys,1 - 4,Villarreal
Villarreal,2 - 0,BSC Young Boys
Villarreal,0 - 2,Manchester Utd
Atalanta,2 - 3,Villarreal
Villarreal,1 - 1,Juventus
Juventus,0 - 3,Villarreal
Villarreal,1 - 0,Bayern Munich
Bayern Munich,1 - 1,Villarreal
Liverpool,2 - 0,Villarreal
Villarreal,2 - 3,Liverpool
Malmo FF,0 - 3,Juventus
Juventus,1 - 0,Chelsea
Zenit,0 - 1,Juventus
Juventus,4 - 2,Zenit
Chelsea,4 - 0,Juventus
Juventus,1 - 0,Malmo FF
Villarreal,1 - 1,Juventus
Juventus,0 - 3,Villarreal
Club Brugge,1 - 1,Paris SG
Paris SG,2 - 0,Manchester City
Paris SG,3 - 2,RB Leipzig
RB Leipzig,2 - 2,Paris SG
Manchester City,2 - 1,Paris SG
Paris SG,4 - 1,Club Brugge
Paris SG,1 - 0,Real Madrid
Real Madrid,3 - 1,Paris SG
Inter Milan,0 - 1,Real Madrid
Shakhtar,0 - 0,Inter Milan
Inter Milan,3 - 1,S. Tiraspol
S. Tiraspol,1 - 3,Inter Milan
Inter Milan,2 - 0,Shakhtar
Real Madrid,2 - 0,Inter Milan
Inter Milan,0 - 2,Liverpool
Liverpool,0 - 1,Inter Milan
Dynamo Kiev,0 - 0,Benfica
Benfica,3 - 0,FC Barcelona
Benfica,0 - 4,Bayern Munich
Bayern Munich,5 - 2,Benfica
